# sealsonline.com/en/flabed — old category URL scheme → live scheme (verified live 2026-09-26)
# Paths are relative to https://www.sealsonline.com/en/flabed/categories/
# old scheme: {inch|metric}/{group}[/{profile}] and hard-parts/{group}; live scheme: {group}/{group}-{inch|metric}[/{profile}]
# note: exact = same profile slug; parent = profile no longer on the live site, send to its sub-category page
old_path,new_path,what,note
metric/piston-seals/pb-n,piston-seals/piston-seals-metric,profile PB/N,parent
metric/piston-seals/ph,piston-seals/piston-seals-metric/ph,profile PH,exact
metric/piston-seals/pr,piston-seals/piston-seals-metric/pr,profile PR,exact
metric/piston-seals/kr,piston-seals/piston-seals-metric/kr,profile KR,exact
metric/piston-seals/pz,piston-seals/piston-seals-metric/pz,profile PZ,exact
metric/piston-seals/p-1-b,piston-seals/piston-seals-metric/p-1-b,profile P1B,exact
metric/piston-seals/p-1-b-1,piston-seals/piston-seals-metric/p-1-b-1,profile P1B-1,exact
metric/piston-seals/p-2-b,piston-seals/piston-seals-metric/p-2-b,profile P2B,exact
metric/piston-seals/st-n,piston-seals/piston-seals-metric/st-n,profile ST/N,exact
metric/piston-seals/p-2-b-u,piston-seals/piston-seals-metric/p-2-b-u,profile P2B/U,exact
metric/piston-seals/p-2-e,piston-seals/piston-seals-metric/p-2-e,profile P2E,exact
metric/piston-seals/p-2-g,piston-seals/piston-seals-metric/p-2-g,profile P2G,exact
metric/piston-seals/p-3-c,piston-seals/piston-seals-metric/p-3-c,profile P3C,exact
metric/piston-seals/p-4-a,piston-seals/piston-seals-metric/p-4-a,profile P4A,exact
metric/piston-seals/p-5-b,piston-seals/piston-seals-metric/p-5-b,profile P5B,exact
inch/vee-packings/standard-vee-packing,vee-packings/vee-packings-inch/standard-vee-packing,profile Standard Vee Packing,exact
inch/vee-packings/standard-vee-sets,vee-packings/vee-packings-inch/standard-vee-sets,profile Standard Vee Sets,exact
inch/vee-packings/hydrolock-vee-set,vee-packings/vee-packings-inch/hydrolock-vee-set,profile Hydrolock Vee Set,exact
inch/vee-packings/guidelocks,vee-packings/vee-packings-inch/guidelocks,profile Guidelocks,exact
inch/vee-packings/vee-coil,vee-packings/vee-packings-inch/vee-coil,profile Vee Coil,exact
metric/vee-packings/v-1,vee-packings/vee-packings-metric/v-1,profile V1,exact
metric/vee-packings/v-3,vee-packings/vee-packings-metric/v-3,profile V3,exact
inch/guiding-elements/w-1-w-2-w-3-w-4-wr,guiding-elements/guiding-elements-inch/w-1-w-2-w-3-w-4-wr,profile W1 W2 W3 W4 WR,exact
inch/guiding-elements/ws,guiding-elements/guiding-elements-inch/ws,profile WS,exact
metric/guiding-elements/gb,guiding-elements/guiding-elements-metric/gb,profile GB,exact
metric/guiding-elements/gb-n,guiding-elements/guiding-elements-metric/gb-n,profile GB/N,exact
metric/guiding-elements/gc,guiding-elements/guiding-elements-metric/gc,profile GC,exact
metric/guiding-elements/ws,guiding-elements/guiding-elements-metric/ws,profile WS,exact
metric/guiding-elements/ge,guiding-elements/guiding-elements-metric/ge,profile GE,exact
metric/guiding-elements/ge-gs-2-rs,spherical-ball-bushing/spherical-ball-bushings-metric/ge-gs-2-rs,profile GE-GS2RS,exact
inch/orings/2-xxx,o-rings/o-rings-inch/2-xxx,profile 2-XXX,exact
inch/orings/3-xxx,o-rings/o-rings-inch/3-xxx,profile 3-XXX,exact
inch/orings/4-xxx,o-rings/o-rings-inch/4-xxx,profile 4-XXX,exact
inch/orings/ts-xxx,o-rings/o-rings-inch/ts-xxx,profile TS-XXX,exact
inch/orings/oring-cord,o-rings/o-rings-inch/oring-cord,profile O'Ring Cord,exact
inch/orings/ed-din-connector-rings,o-rings/o-rings-metric/ed-din-connector-rings,profile ED - DIN Connector Rings,exact
inch/orings/cat-hydraulic-hose-coupling-seals,o-rings/o-rings-inch/cat-hydraulic-hose-coupling-seals,profile CAT Hydraulic Hose Coupling Seals,exact
inch/orings/8-xxx,back-up-rings/back-up-rings-inch/8-xxx,profile 8-XXX,exact
inch/orings/8700,back-up-rings/back-up-rings-inch/8700,profile 8700,exact
inch/orings/head-seals,head-seals,profile Head Seals,own category
inch/orings/sfs,flange-seals/flange-seals-inch/sfs,profile SFS,exact
inch/orings/pfs,flange-seals/flange-seals-inch/pfs,profile PFS,exact
inch/orings/bs-400,face-and-thread-seals/face-and-thread-seals-inch/bs-400,profile BS400,exact
inch/orings/bs-400-sc,face-and-thread-seals/face-and-thread-seals-inch/bs-400-sc,profile BS400SC,exact
inch/orings/600,face-and-thread-seals/face-and-thread-seals-inch/600,profile 600,exact
inch/orings/7500,face-and-thread-seals/face-and-thread-seals-inch/7500,profile 7500,exact
inch/orings/d-ring,d-ring,profile D-Ring,own category
inch/orings-others/quad-rings,o-rings/o-rings-metric/quad-rings,profile Quad Rings,exact
inch/orings-others/ov,flange-seals/flange-seals-metric/ov,profile OV,exact
inch/orings-others/oring-cord,o-rings/o-rings-inch/oring-cord,profile O'Ring Cord,exact
inch/orings-others/sd-t,back-up-rings/back-up-rings-metric/sd-t,profile SD/T,exact
inch/orings-others/sd-u,back-up-rings/back-up-rings-metric/sd-u,profile SD/U,exact
inch/orings-others/usit-rings,face-and-thread-seals/face-and-thread-seals-metric/usit-rings,profile Usit Rings,exact
inch/orings-others/usit-rings-self-centering,face-and-thread-seals/face-and-thread-seals-metric/usit-rings-self-centering,profile Usit Rings - Self Centering,exact
inch/orings-others/ed-din-connector-rings,o-rings/o-rings-metric/ed-din-connector-rings,profile ED - DIN Connector Rings,exact
inch/o-rings/8-xxx,back-up-rings/back-up-rings-inch/8-xxx,profile 8-XXX,exact
